EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,ALTITUDE,BRG,AIR_GND_CODE,CHK_DESC,ARPT_ID,STATE_CHK_CODE
2025/03/20,GUS,VORTAC,IN,PERU,US,,36,G,1.1 NM TWY TO RWY 23.,GUS,IN
2025/03/20,GUS,VORTAC,IN,PERU,US,,239,G,0.9 NM TWY TO RWY 05.,GUS,IN
2025/03/20,GXU,VORTAC,NJ,WRIGHTSTOWN,US,,212,G,GXU 0.3 RY 06 RUNUP PAD.,WRI,NJ
2025/03/20,HLG,VOR/DME,WV,WHEELING,US,,226,G,ON TWY D NEXT TO RAMP.,HLG,WV
2025/03/20,HLN,VORTAC,MT,HELENA,US,,242,G,0.7 NM ON TAXIWAY E ON SOUTH SIDE OF RY 27.,HLN,MT
2025/03/20,HMV,VORTAC,TN,HOLSTON MOUNTAIN,US,,285,G,13.5 NM NEAR APP END RWY 23,TRI,TN
2025/03/20,HRO,VOR/DME,AR,HARRISON,US,,135,G,INTERSECTION OF TWY A & B.,HRO,AR
2025/03/20,IAH,VORTAC,TX,HOUSTON,US,,339,G,2.2 NM ON RUNUP PAD RY 08.,IAH,TX
2025/03/20,IDA,VOR/DME,ID,IDAHO FALLS,US,,208,G,0.8 NM AT INT OF TWYS A AND A4.,IDA,ID
2025/03/20,IGM,VOR/DME,AZ,KINGMAN,US,,220,G,1 NM - CTR R/U AREA APCH END RWY 03,IGM,AZ
2025/03/20,IGN,VOR/DME,NY,KINGSTON,US,2500.0,70,A,5.0 NM OVER INTERSECTION OF TWY AND RWY 17-35.,44N,NY
2025/03/20,INL,VOR/DME,MN,INTERNATIONAL FALLS,US,,112,G,0.6 NM ON TWY A AT A2.,INL,MN
2025/03/20,ISO,VORTAC,NC,KINSTON,US,,230,G,3.1 NM TWY A BETWEEN A4 & A5.,ISO,NC
2025/03/20,IWA,VORTAC,AZ,PHOENIX,US,,124,G,0.6 NM - TWY P RUNUP AREA 30C,IWA,AZ
2025/03/20,IWA,VORTAC,AZ,PHOENIX,US,,299,G,1.4 NM ON TWY G BTN RWY 12R & 12C.,IWA,AZ
2025/03/20,JAC,VOR/DME,WY,JACKSON,US,,174,G,".5 NM ON TWY A, APPROX 1,000 FT. S OF AER 19.",JAC,WY
2025/03/20,JBR,VOR/DME,AR,JONESBORO,US,,229,G,3.9 NM ON NE RAMP IN FRONT OF AIRLINE TERMINAL.,JBR,AR
2025/03/20,JMS,VOR/DME,ND,JAMESTOWN,US,,148,G,0.6 NM ON TWY A1,JMS,ND
2025/03/20,JPU,VOR/DME,WV,PARKERSBURG,US,,211,G,6.3 NM  INTERSECTION OF TWYS 'A' & 'D'.,PKB,WV
2025/03/20,LAL,VORTAC,FL,LAKELAND,US,,38,G,0.5 NM NE END OF TWY 'C'.,LAL,FL
2025/03/20,LAL,VORTAC,FL,LAKELAND,US,,283,G,1.1 NM ON TWY A-1.,LAL,FL
2025/03/20,LAW,VOR/DME,OK,LAWTON,US,,349,G,4.6 NM ON TWY BTN TERMINAL AND RY 17/35.,LAW,OK
2025/03/20,LBF,VOR/DME,NE,NORTH PLATTE,US,,13,G,5.5 NM ON SOUTH EDGE OF RAMP 200 FT NORTH OF TWY B.,LBF,NE
2025/03/20,LFT,VORTAC,LA,LAFAYETTE,US,,25,G,1.4 NM TWY J RUN UP AREA 22L.,LFT,LA
2025/03/20,LFT,VORTAC,LA,LAFAYETTE,US,,39,G,.8 NM ON TWY B RUN UP AREA RWY 29.,LFT,LA
2025/03/20,LFT,VORTAC,LA,LAFAYETTE,US,,341,G,0.9 NM ON TWY B RUN UP AREA RWY 11.,LFT,LA
2025/03/20,LHS,VORTAC,CA,LAKE HUGHES,US,,65,G,18.1 NM ON THE MAIN RAMP AT EAST TERMINAL GAS PIT.,WJF,CA
2025/03/20,LMT,VORTAC,OR,KLAMATH FALLS,US,,298,G,1.0 NM ON RAMP N OF TWY 'E'.,LMT,OR
2025/03/20,LOZ,VOR/DME,KY,LONDON,US,,33,G,3.8 NM ON PARKING RAMP TWY ENTRY.,LOZ,KY
2025/03/20,LRD,VORTAC,TX,LAREDO,US,,318,G,4.8 NM ON RUNUP AREA OF TWY A.,LRD,TX
2025/03/20,LRP,VOR/DME,PA,LANCASTER,US,,306,G, NORTH OF TWY M ON NON-MOVEMENT TWY.,LNS,PA
2025/03/20,LSF,VOR/DME,GA,FORT MOORE (COLUMBUS),US,,358,G,0.6 NM ON PAINTED CIRCLE AT TWY INTXN 580 FT NW OF ATCT.,LSF,GA
2025/03/20,LYH,VOR/DME,VA,LYNCHBURG,US,,27,G,5 NM WEST RUNUP AREA ADJ TO RWY 22.,LYH,VA
2025/03/20,MCC,VOR/DME,CA,SACRAMENTO,US,,15,G,0.4 NM ON TWY B,MCC,CA
2025/03/20,MCC,VOR/DME,CA,SACRAMENTO,US,,358,G,0.9 NM TWY A AT AER 16,MCC,CA
2025/03/20,MEI,VORTAC,MS,MERIDIAN,US,,127,G,4.0 ON RAMP IN FRONT OF TERMINAL.,MEI,MS
2025/03/20,MFD,VORTAC,OH,MANSFIELD,US,,134,G,4.7 NM INT TWY A & D.,MFD,OH
2025/03/20,MFE,VOR/DME,TX,MC ALLEN,US,,331,G,.6 NM ON CARGO RAMP.,MFE,TX
2025/03/20,MGW,VOR/DME,WV,MORGANTOWN,US,,337,G,5.8 INTXN OF TWYS 'A' & 'C'.,MGW,PA
2025/03/20,MHE,VOR/DME,SD,MITCHELL,US,,197,G,.5 NM ON MAIN RAMP.,MHE,SD
2025/03/20,MHK,VOR/DME,KS,MANHATTAN,US,,205,G,1.0 NM TWY AT RY 03 HOLD LINE.,MHK,KS
2025/03/20,MIE,VOR/DME,IN,MUNCIE,US,,331,G,0.6 NM TO TWY A4 NEAR AER 14,MIE,IN
