EFF_DATE,FACILITY_ID,FACILITY_TYPE,STATE_CODE,COUNTRY_CODE,RADAR_TYPE,RADAR_NO,RADAR_HRS,REMARK
2025/03/20,FAR,AIRPORT,ND,US,ASR,2,24,
2025/03/20,FAT,AIRPORT,CA,US,ASR,2,24,
2025/03/20,FAY,AIRPORT,NC,US,ASR,1,0600-2400,
2025/03/20,FBG,AIRPORT,NC,US,ASR,1,"1300-0500Z++ MON-SAT, CLSD HOL, OT BY NOTAM.",
2025/03/20,FBK,AIRPORT,AK,US,ASR,1,0700-1500.,
2025/03/20,FBK,AIRPORT,AK,US,PAR,2,0700-1500.,
2025/03/20,FFO,AIRPORT,OH,US,ASR,1,24,
2025/03/20,FL34,AIRPORT,FL,US,ASR,2,24,
2025/03/20,FLL,AIRPORT,FL,US,ASR,1,24,
2025/03/20,FMH,AIRPORT,MA,US,ASR,1,24,
2025/03/20,FNT,AIRPORT,MI,US,ASR,1,0545-2330,
2025/03/20,FRI,AIRPORT,KS,US,ASR,1,OPR 1400- 0700Z++ MON-FRI ; 1400-2200Z++FRI EXC HOL.,
2025/03/20,FRI,AIRPORT,KS,US,PAR,2,OPR 1400- 0700Z++ MON-FRI ; 1400-2200Z++FRI EXC HOL.,
2025/03/20,FSD,AIRPORT,SD,US,ASR,2,0500-2300,
2025/03/20,FSI,AIRPORT,OK,US,ASR,1,24,
2025/03/20,FSM,AIRPORT,AR,US,ASR,1,24,
2025/03/20,FWA,AIRPORT,IN,US,ASR,1,24,
2025/03/20,FYV,AIRPORT,AR,US,ASR,1,0600-2200,
2025/03/20,GEG,AIRPORT,WA,US,ASR,1,24,
2025/03/20,GGG,AIRPORT,TX,US,ASR,1,0600-2200,
2025/03/20,GPT,AIRPORT,MS,US,ASR,1,0600-2300,
2025/03/20,GRB,AIRPORT,WI,US,ASR,1,0530-1130,
2025/03/20,GRF,AIRPORT,WA,US,ASR,1,0600-2200,
2025/03/20,GRK,AIRPORT,TX,US,ASR,2,24,
2025/03/20,GRK,AIRPORT,TX,US,PAR,3,24,
2025/03/20,GRR,AIRPORT,MI,US,ASR,1,0530-0000,
2025/03/20,GSB,AIRPORT,NC,US,ASR,1,1200-0400Z++.  DIGITAL ASR NO-NOTAM MP 0500-1030Z++ MON-FRI.,
2025/03/20,GSO,AIRPORT,NC,US,ASR,1,24,
2025/03/20,GSP,AIRPORT,SC,US,ASR,2,0600-2345,
2025/03/20,GTB,AIRPORT,NY,US,PAR,1,24,
2025/03/20,GTB,AIRPORT,NY,US,ASR,2,24,
2025/03/20,GTF,AIRPORT,MT,US,ASR,1,24,
2025/03/20,GUM,AIRPORT,GU,US,ASR,1,UNK,
2025/03/20,GUS,AIRPORT,IN,US,ASR,2,NO-NOTAM MP 1200-1400Z++ MON.  ASR APCH SVC 1200-0400Z++ DLY.,
2025/03/20,GVT,AIRPORT,TX,US,ASR,1,0730-1600,
2025/03/20,GXY,AIRPORT,CO,US,ASR,1,24,
2025/03/20,HEY,AIRPORT,AL,US,PAR,1,"OPR 1130-0545Z++ OR TIL MISSION CMPLT, MON-FRI EXC HOL, OT CTC CAIRNS TWR.",
2025/03/20,HMN,AIRPORT,NM,US,ASR,1,0800-2200,
2025/03/20,HNL,AIRPORT,HI,US,ASR,1,24,
2025/03/20,HOP,AIRPORT,KY,US,PAR,2,PAR UNAVBL 0400-1400Z++.,
2025/03/20,HOP,AIRPORT,KY,US,ASR,3,0600-2200.  ILS RADAR SEE TERMINAL FLIP FOR RADAR MINIMA.,
2025/03/20,HOU,AIRPORT,TX,US,ASR,1,24,
2025/03/20,HPN,AIRPORT,NY,US,ASR,1,0600-2300,
2025/03/20,HRL,AIRPORT,TX,US,ASR,1,0600-0000,
2025/03/20,HST,AIRPORT,FL,US,ASR,1,0700-2300,(RADAR_HRS) NO-NOTAM MP: 1000-1400Z++ WED (1500/3+1).
2025/03/20,HSV,AIRPORT,AL,US,ASR,1,0600-0000,
2025/03/20,HTS,AIRPORT,WV,US,ASR,1,24,
2025/03/20,HUA,AIRPORT,AL,US,PAR,1,0600-1900 MON-FRI EXCP HOLS; OTR TIMES PPR.,
2025/03/20,HUF,AIRPORT,IN,US,ASR,1,24,
2025/03/20,I90,TRACON,TX,US,ASR,1,24,
2025/03/20,I90,TRACON,TX,US,ASR,2,24,
2025/03/20,I90,TRACON,TX,US,ASR,3,24,
2025/03/20,I90,TRACON,TX,US,ASR,4,24,
2025/03/20,IAD,AIRPORT,DC,US,ASR,1,24,
2025/03/20,IAH,AIRPORT,TX,US,ASR,1,24,
2025/03/20,ICT,AIRPORT,KS,US,ASR,1,24,
2025/03/20,ILM,AIRPORT,NC,US,ASR,1,24,
2025/03/20,ILN,AIRPORT,OH,US,ASR,1,24,
2025/03/20,IND,AIRPORT,IN,US,ASR,1,24,
2025/03/20,ISP,AIRPORT,NY,US,ASR,1,0600-0000,
2025/03/20,ITO,AIRPORT,HI,US,ASR,1,0600-2200,
2025/03/20,IWA,AIRPORT,AZ,US,ASR,1,0600-2200,
2025/03/20,JAN,AIRPORT,MS,US,ASR,1,0600-2300,
2025/03/20,JAX,AIRPORT,FL,US,ASR,1,24,
