EFF_DATE,PJA_ID,FAC_ID,FAC_NAME,LOC_ID,COMMERCIAL_FREQ,COMMERCIAL_CHART_FLAG,MIL_FREQ,MIL_CHART_FLAG,SECTOR,CONTACT_FREQ_ALTITUDE
2025/02/20,PCA050,ZLA,LOS ANGELES,ZLA,121.1,Y,,,,
2025/02/20,PCA052,ZLA,LOS ANGELES,ZLA,128.15,Y,,,,
2025/02/20,PCA053,NCT,NORTHERN CALIFORNIA TRACON,NCT,120.1,Y,,,,
2025/02/20,PCA054,ZOA,OAKLAND,ZOA,127.8,Y,,,,
2025/02/20,PCA055,NCT,NORTHERN CALIFORNIA TRACON,NCT,125.1,N,,,,
2025/02/20,PCA056,SCT,SOUTHERN CALIFORNIA TRACON,SCT,134.0,N,,,,
2025/02/20,PCA057,BFL,MEADOWS FLD,BFL,112.975,N,,,,
2025/02/20,PCA058,ZOA,OAKLAND,ZOA,121.25,N,,,,
2025/02/20,PCA059,BFL,MEADOWS FLD,BFL,120.5,Y,284.625,Y,,
2025/02/20,PCA061,SCT,SOUTHERN CALIFORNIA TRACON,SCT,125.15,Y,317.55,N,,
2025/02/20,PCO014,D01,DENVER TRACON,D01,127.05,Y,,,,
2025/02/20,PCO015,D01,DENVER TRACON,D01,127.05,Y,,,,
2025/02/20,PCT003,PVD,RHODE ISLAND TF GREEN INTL,PVD,123.67,Y,,,,
2025/02/20,PFL014,JAX,JACKSONVILLE INTL,JAX,121.0,N,,,,
2025/02/20,PFL016,ZMA,MIAMI,ZMA,127.2,Y,,,,
2025/02/20,PFL039,TLH,TALLAHASSEE INTL,TLH,135.8,N,,,,
2025/02/20,PFL046,TPA,TAMPA INTL,TPA,135.5,N,,,,
2025/02/20,PFL048,,EGLIN RADAR CONTROL FACILITY,VPS,125.1,Y,284.65,N,,
2025/02/20,PFL050,OZR,CAIRNS AAF (FORT NOVOSEL),OZR,133.75,N,133.75,N,,
2025/02/20,PGA035,ZTL,ATLANTA,ZTL,124.5,Y,,,,
2025/02/20,PGU001,GUM,GUAM INTL,GUM,118.7,Y,279.5,Y,,
2025/02/20,PHI005,ZHN,HONOLULU CONTROL FACILITY,ZHN,126.5,Y,,,,
2025/02/20,PHI007,ZHN,HONOLULU CONTROL FACILITY,ZHN,126.5,Y,,,,
2025/02/20,PHI010,ZHN,HONOLULU CONTROL FACILITY,ZHN,126.0,Y,,,,
2025/02/20,PHI011,ZHN,HONOLULU CONTROL FACILITY,ZHN,142.45,Y,225.2,Y,,
2025/02/20,PHI012,ZHN,HONOLULU CONTROL FACILITY,ZHN,126.5,Y,,,,
2025/02/20,PHI013,ZHN,HONOLULU CONTROL FACILITY,ZHN,118.45,Y,278.3,Y,,
2025/02/20,PHI014,ZHN,HONOLULU CONTROL FACILITY,ZHN,118.45,Y,278.3,Y,,
2025/02/20,PHI015,ZHN,HONOLULU CONTROL FACILITY,ZHN,118.45,Y,278.3,Y,,
2025/02/20,PIA015,ZAU,CHICAGO,ZAU,132.8,Y,,,,
2025/02/20,PIL009,ZKC,KANSAS CITY,ZKC,124.3,Y,,,,
2025/02/20,PIL011,ZAU,CHICAGO,ZAU,123.75,Y,,,,
2025/02/20,PIL014,RFD,CHICAGO/ROCKFORD INTL,RFD,121.0,Y,,,,
2025/02/20,PIN017,SBN,SOUTH BEND INTL,SBN,118.55,N,,,,
2025/02/20,PKS004,ZKC,KANSAS CITY,ZKC,127.72,N,,,,
2025/02/20,PKS015,ZKC,KANSAS CITY,ZKC,121.825,Y,,,,
2025/02/20,PLA010,MSY,LOUIS ARMSTRONG NEW ORLEANS INTL,MSY,133.15,N,,,,10500.0
2025/02/20,PLA011,MSY,LOUIS ARMSTRONG NEW ORLEANS INTL,MSY,133.15,Y,,,,10500.0
2025/02/20,PMA002,ZBW,BOSTON,ZBW,123.75,Y,,,,
2025/02/20,PMA011,PVD,RHODE ISLAND TF GREEN INTL,PVD,123.67,N,,,,
2025/02/20,PMA012,BOS,GENERAL EDWARD LAWRENCE LOGAN INTL,BOS,120.6,N,,,,
2025/02/20,PMD013,PCT,POTOMAC TRACON,PCT,125.525,Y,,,,
2025/02/20,PME002,A90,BOSTON CONSOLIDATED TRACON,A90,124.4,N,,,,
2025/02/20,PME003,PWM,PORTLAND INTL JETPORT,PWM,119.75,N,,,,
2025/02/20,PMI022,AZO,KALAMAZOO/BATTLE CREEK INTL,AZO,127.3,N,,,,
2025/02/20,PMI023,,SELFRIDGE ANG,MTC,119.6,Y,318.2,Y,,
2025/02/20,PMI024,ZMP,MINNEAPOLIS,CEK,132.9,Y,,,,
2025/02/20,PMO008,SGF,SPRINGFIELD-BRANSON NTL,SGF,124.95,Y,318.2,Y,,
2025/02/20,PMO010,SGF,SPRINGFIELD-BRANSON NTL,SGF,124.95,Y,318.2,Y,,
2025/02/20,PMO014,SGF,SPRINGFIELD-BRANSON NTL,SGF,124.95,Y,318.2,N,,
2025/02/20,PMT018,HLN,HELENA RGNL,HLN,118.3,Y,,,,
2025/02/20,PNC039,VUJ,STANLY COUNTY,VUZ,126.275,N,,,,
2025/02/20,PNC042,CLT,CHARLOTTE/DOUGLAS INTL,N92,134.74,N,,,,
2025/02/20,PNC043,CLT,CHARLOTTE/DOUGLAS INTL,N92,128.32,N,,,,
